product,category,date,predicted_sales,lower_bound,upper_bound,type,MAE,Error_%
Chocolate Mousse,Sweets,10/18/2022,0.05021593,0,19.01422819,category_distribution,16.70617491,68.69555739
Chocolate Mousse,Sweets,10/19/2022,0.050249557,0,19.21328758,category_distribution,16.70617491,68.69555739
Chocolate Mousse,Sweets,10/20/2022,0.070592464,0,22.05367507,category_distribution,16.70617491,68.69555739
Chocolate Mousse,Sweets,10/21/2022,0.0837387,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Chocolate Mousse,Sweets,10/22/2022,0.065996515,0,21.14025603,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/16/2022,0.206504544,0,18.07429114,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/17/2022,0.163401322,0,16.87794988,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/18/2022,0.212202799,0,19.01422819,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/19/2022,0.212344902,0,19.21328758,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/20/2022,0.298310088,0,22.05367507,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/21/2022,0.35386354,1.259375553,25.32246834,category_distribution,16.70617491,68.69555739
Chocolate brawny,Sweets,10/22/2022,0.278888499,0,21.14025603,category_distribution,16.70617491,68.69555739
Chocolate waffle,Hot Sweets,10/16/2022,1.070947621,0,3.921127945,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/17/2022,1.217293029,0,4.183140216,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/18/2022,1.19285629,0,4.069628526,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/19/2022,1.509980949,0,4.717562281,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/20/2022,2.095471498,0,5.124453351,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/21/2022,3.266493587,0.370233259,6.061607914,high_item_model,2.141169263,63.77950995
Chocolate waffle,Hot Sweets,10/22/2022,2.067741679,0,5.067969122,high_item_model,2.141169263,63.77950995
Chocolate with ice cream Waffle,Hot Sweets,10/16/2022,0.025290446,0,14.14978436,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/17/2022,0.016874314,0,11.81706701,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/18/2022,0.025945753,0,13.6568393,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/19/2022,0.024709135,0,13.69568737,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/20/2022,0.027294398,0,14.15172253,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/21/2022,0.055589426,3.622723522,19.63897195,category_distribution,10.69046787,65.83152902
Chocolate with ice cream Waffle,Hot Sweets,10/22/2022,0.029552632,0,15.10234563,category_distribution,10.69046787,65.83152902
Cortado,Espresso Drinks,10/16/2022,0.36739899,0,2.909006237,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/17/2022,0.856015113,0,3.321263102,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/18/2022,0.686992256,0,3.193147289,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/19/2022,1.029437725,0,3.552066707,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/20/2022,0.787328207,0,3.168799683,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/21/2022,2.006579277,0,4.600958531,high_item_model,3.040399027,79.62949833
Cortado,Espresso Drinks,10/22/2022,1.62790233,0,4.271055936,high_item_model,3.040399027,79.62949833
Date cake,Sweets,10/16/2022,1.076661095,0,18.07429114,category_distribution,16.70617491,68.69555739
Date cake,Sweets,10/17/2022,0.851932083,0,16.87794988,category_distribution,16.70617491,68.69555739
Date cake,Sweets,10/18/2022,1.106370319,0,19.01422819,category_distribution,16.70617491,68.69555739
